,long,lat,comid,station
449,-77.7041667,42.53555556,15547935,USGS-04224775
450,-77.71527778,42.85416667,15539419,USGS-04227995
451,-77.7574167,42.9227222,15539133,USGS-04228500
452,-77.58888889,42.9572222,15540125,USGS-04229500
453,-77.79138889,43.01,15537859,USGS-04230500
454,-77.6163056,43.1417222,15537883,USGS-04231600
455,-77.527,43.12802778,21633883,USGS-04232050
456,-77.5119444,43.145,21633937,USGS-0423205010
457,-76.95388889,42.6803333,21978203,USGS-04232482
458,-76.7611111,42.93888889,21980835,USGS-04232730
459,-76.3944444,42.38138889,21983581,USGS-04233286
460,-76.435,42.40305556,21983449,USGS-04233300
461,-76.47277778,42.4533333,21983115,USGS-04234000
462,-77.23277778,42.9182222,21982175,USGS-04235000
463,-77.0680556,42.95777778,21981203,USGS-04235250
464,-76.434,42.7115833,21978101,USGS-04235299
465,-76.5635556,42.93238889,21977249,USGS-04235440
466,-76.6455556,43.0786111,21975173,USGS-04235600
467,-76.1508333,42.9833333,21979277,USGS-04239000
468,-76.162,43.05744444,21991043,USGS-04240010
469,-76.1816667,43.0358333,21974523,USGS-04240100
470,-76.185,43.0561111,904140174,USGS-04240105
471,-76.17027778,43.0772222,21974929,USGS-04240120
472,-75.6214722,43.3011111,22023328,USGS-04242500
473,-75.6394167,43.09755556,22024054,USGS-04243500
474,-76.21777778,43.2053611,22026196,USGS-04247000
475,-76.2871111,43.21116667,21972840,USGS-04247055
476,-76.50527778,43.45166667,21972746,USGS-04249000
477,-76.0376944,43.53119444,21624117,USGS-04250200
478,-76.0744444,43.81369444,21623171,USGS-04250750
479,-75.30677778,43.5116111,15515318,USGS-04252500
480,-74.7218348,43.7439541,15511320,USGS-04253296
481,-75.3334444,43.74680556,15514388,USGS-04256000
482,-75.40427778,43.89716667,15514760,USGS-04258000
483,-75.9246111,43.9858333,15514728,USGS-04260500
